ticker,annouced,div_total,div_per_share
12,20030612,8123.704992,0.12
12,20040617,9748.44599,0.144
12,20050520,13539.50832,0.2
12,20060609,16450.50261,0.162
12,20070612,41126.25652,0.405
12,20080530,16037.50217,0.135
12,20090625,11013.64312,0.09
12,20100506,38514.91216,0.315
12,20110526,65398.50639,0.315
12,20120519,33620.43607,0.162
12,20130522,29573.53173,0.1425
12,20140428,59147.06346,0.285
12,20150430,98578.4391,0.475
12,20160511,62260.0668,0.3
12,20170711,20753.3556,0.1
12,20180620,12420.73774,0.05
12,20190620,14128.16439,0.05
12,20200620,21494.84475,0.07
13,19930630,0,0
13,19940607,0,0
13,19950825,0,0
13,19960727,0,0
13,19980919,0,0
14,NaN,NaN,0
14,NaN,0,0
14,NaN,NaN,0
14,NaN,NaN,0
14,19930630,0,0
14,19940517,0,0
14,19950802,0,0
14,19960726,0,0
14,20030423,215.1522,0.024
14,20040515,229.49568,0.0256
14,20050601,215.1522,0.024
14,20060715,282.3872625,0.0315
14,20070705,72.6138675,0.0054
14,20080710,33.61753125,0.0025
14,20090710,544.6040049,0.027
14,20100807,544.6040049,0.027
14,20110712,635.3713391,0.0315
14,20120612,363.0693366,0.018
14,20130606,479.0498191,0.02375
14,20140531,287.4298915,0.01425
14,20150610,364.0778625,0.01805
14,20160614,746.3091919,0.037
14,20170610,302.5577805,0.015
14,20180614,201.705187,0.01
14,20190611,1331.254234,0.066
14,20200604,221.8757057,0.011
15,19930710,0,0
15,19940608,0,0
16,NaN,NaN,0
16,NaN,NaN,0
16,NaN,0,0
16,NaN,NaN,0
16,19930415,0,0
16,19940518,0,0
16,19951016,0,0
16,19960629,12204.50202,0.434
16,19970704,15719.62356,0.43
16,19980612,16790.7514,0.4593
16,19990813,9639.580476,0.24756
16,19991012,11416.10419,0.24432
16,20000718,16664.0768,0.3045
16,20010615,7223.836224,0.12
16,20070724,5417.877168,0.09
16,20080528,0,0
16,20090703,5417.877168,0.045
16,20100707,1083.575434,0.009
16,20110702,1083.575434,0.009
16,20120630,1083.575434,0.009
16,20130605,1143.774069,0.0095
16,20140522,1143.774069,0.0095
16,20150711,1143.774069,0.0095
16,20150917,0,0
16,20180530,39008.71561,0.162
16,20190627,24079.45408,0.1
16,20200701,12039.72704,0.05
17,NaN,NaN,0
17,NaN,NaN,0
17,NaN,NaN,0
17,NaN,NaN,0
17,NaN,NaN,0
17,NaN,NaN,0
17,19930820,0,0
17,19940906,0,0
17,19951117,0,0
17,20100316,0,0
18,NaN,NaN,0
18,NaN,NaN,0
18,NaN,NaN,0
18,19930501,0,0
18,19940618,0,0
18,19950725,0,0
18,19960729,0,0
18,20160601,0,0
18,20170710,10189.47007,0.06
18,20180706,6792.980044,0.04
19,NaN,0,0
19,NaN,NaN,0
19,NaN,NaN,0
19,NaN,NaN,0
19,19930609,0,0
19,19941229,0,0
19,19970708,0,0
19,19980718,1522.03491,0.0913
19,19990701,1460.30076,0.0876
19,20010626,1328.038542,0.073
19,20020518,727.692352,0.04
19,20130702,4767.102926,0.19
19,20140507,0,0
19,20160615,0,0
19,20170622,2258.10138,0.05
19,20190613,11525.35254,0.1
19,20200612,23050.70508,0.2
20,NaN,NaN,0
20,NaN,NaN,0
20,NaN,NaN,0
20,NaN,NaN,0
20,NaN,NaN,0
20,NaN,NaN,0
20,19930412,0,0
20,19940606,0,0
20,19950714,0,0
20,19960831,0,0
20,19971008,2696.62896,0.127
20,19971229,0,0
21,NaN,0,0
21,NaN,NaN,0
21,NaN,NaN,0
21,NaN,NaN,0
21,19940817,0,0
21,19951109,0,0
21,19960607,0,0
