Date,CI005001.WI,CI005002.WI,CI005003.WI,CI005004.WI,CI005005.WI,CI005006.WI,CI005007.WI,CI005008.WI,CI005009.WI,CI005010.WI,CI005011.WI,CI005012.WI,CI005013.WI,CI005014.WI,CI005015.WI,CI005016.WI,CI005017.WI,CI005018.WI,CI005019.WI,CI005020.WI,CI005021.WI,CI005022.WI,CI005023.WI,CI005024.WI,CI005025.WI,CI005026.WI,CI005027.WI,CI005028.WI,CI005029.WI,CI005030.WI
2005-01-24,907.6426,925.8330,975.1988,954.0141,1009.2806,993.1873,1011.2738,1014.4876,982.7019,1017.5876,974.2031,974.8809,1028.8497,1020.8198,1029.8436,1024.1439,1007.2379,1002.6049,1004.2120,1003.9617,1022.7552,960.2477,1067.4020,987.0566,1022.0759,1049.7419,1024.4692,1017.1379,1017.9009,
2005-01-25,907.3847,940.3850,971.9802,945.5177,1007.6447,990.8659,998.3924,1004.6722,973.7072,1017.8095,960.8392,962.6912,1030.9642,1016.2306,1022.1515,1018.1817,999.0229,996.5560,1007.3026,996.8931,1004.7102,952.3741,1066.5513,990.5667,1008.3853,1044.4501,1011.7026,1016.5727,1011.0887,
2005-01-26,900.9541,929.5967,965.2290,933.6592,1004.3357,985.1613,986.8870,993.0272,967.9052,1008.3616,952.3493,952.0756,1022.4470,1009.1084,1005.8048,1011.2024,985.6541,987.4961,1004.0814,981.4274,1005.5713,950.4959,1057.5913,986.1425,983.4212,1035.2539,982.7694,996.4677,993.7158,
2005-01-27,887.3796,908.2008,951.9601,927.3401,993.2441,972.2296,973.0883,979.4421,957.8269,992.8491,933.5469,927.8654,995.4792,995.9901,1004.1746,995.1076,967.6715,977.8579,987.6005,967.2089,986.5138,919.6380,1050.4979,972.9287,957.4422,1005.8956,958.0416,959.5776,973.3488,
2005-01-28,879.6478,906.3455,940.0376,918.5936,990.9718,956.9860,963.3747,963.5735,943.1154,975.8489,908.3514,912.6773,975.9192,981.8529,982.8563,985.4930,951.6035,962.3008,984.0377,950.3497,991.1872,897.4902,1029.5497,967.8984,947.8486,999.7645,941.7459,957.5081,954.8892,
2005-01-31,860.3104,904.7551,919.2552,911.8693,984.1788,936.7254,928.8507,933.8721,916.5544,951.8384,881.9124,886.2841,950.0126,956.3213,944.5639,949.5394,914.6575,936.0833,974.1506,919.3131,985.1038,848.3559,1005.2021,951.4275,916.4442,981.1179,904.1931,924.5230,915.3592,
2005-02-01,850.2191,912.0776,908.3223,923.5864,990.3701,928.6193,918.0365,922.7738,905.7475,950.6357,870.8077,878.1033,945.6106,941.8417,932.6516,942.1545,905.4590,925.2500,971.8422,907.6099,997.7179,845.9500,996.9587,945.8302,900.8983,983.0825,898.7138,914.3651,893.6486,
2005-02-02,900.2054,971.4291,959.0373,967.3902,1040.0758,975.5463,969.6935,972.7629,950.4875,999.0970,923.2164,928.6083,1007.1796,985.4163,986.2345,999.0875,959.8402,968.2969,1012.6277,953.3705,1044.7723,914.5970,1049.3768,990.6059,967.0938,1030.4490,958.0910,977.2621,949.3570,
2005-02-03,898.7179,956.8492,943.3607,948.3294,1027.5594,962.3246,950.2181,956.9251,927.6988,986.0436,902.0006,908.7329,998.1765,967.5207,965.2664,976.2971,940.6896,955.7308,999.5597,935.7186,1023.3888,892.5249,1040.5187,978.6146,944.8335,1004.8588,930.0259,945.4202,930.0051,
2005-02-04,915.5749,972.5169,961.3809,961.4035,1057.4465,978.9036,966.5663,971.7071,942.5753,1001.8184,917.6210,931.1666,1019.6927,985.4581,982.0221,994.9263,959.8910,967.1100,1016.5383,947.4629,1079.6430,923.9665,1067.5475,1001.5388,972.9434,1019.9973,944.9337,965.4902,938.4475,
2005-02-16,925.2634,980.0485,973.5956,968.5323,1065.9382,992.4427,979.8893,982.1465,952.3055,1012.7225,934.0172,946.3289,1024.4514,993.3043,990.9969,1003.1111,972.6587,973.2999,1021.2245,960.9009,1075.5464,930.5195,1075.5232,1005.4379,994.2376,1034.3711,950.3745,962.6910,951.8498,
2005-02-17,921.6643,973.1949,974.7263,966.5773,1055.9603,992.0751,986.3499,992.2166,953.5759,1014.2416,942.8405,951.1531,1023.2603,995.7582,993.8306,1010.3965,973.6291,978.2408,1020.8085,961.8166,1068.1756,923.3520,1076.5838,999.6643,1054.0894,1032.9521,963.7821,977.9164,959.7832,
2005-02-18,914.5597,974.1718,963.8457,956.6529,1034.3313,979.6442,980.8564,982.4490,942.6885,1002.8669,927.4715,942.7441,1012.1376,983.8753,983.3605,990.3511,964.4472,967.3067,1009.6078,949.7487,1052.2379,915.2747,1057.3949,988.2051,1038.8229,1016.4790,945.0493,955.5691,944.2177,
2005-02-21,934.8204,989.1225,993.5478,970.7187,1054.7196,999.1697,996.4940,994.8691,954.7746,1024.4592,952.4810,954.6394,1029.5417,997.4226,997.2401,1013.0627,977.2077,980.9191,1025.2669,966.8267,1083.6703,930.3929,1077.0678,1009.0226,1073.7203,1035.1375,958.6913,972.4641,959.0067,
2005-02-22,952.3940,1005.8095,1025.2988,991.7100,1074.5835,1027.0267,1021.5854,1018.7597,980.2313,1050.5426,995.2245,984.3315,1055.3843,1018.9707,1022.2270,1049.1387,1004.2969,1003.4269,1044.8160,992.5055,1093.1682,952.8316,1098.0651,1028.6380,1096.5269,1053.8420,978.7680,997.6812,984.8662,
2005-02-23,956.1903,1005.1359,1030.2196,991.0811,1065.9950,1036.0753,1025.9696,1025.2665,983.3913,1059.8066,1002.6381,999.0118,1062.0283,1037.4493,1048.0589,1049.6385,1013.6292,1006.6779,1046.7175,1002.9892,1074.0589,952.6603,1102.8550,1025.8035,1110.3742,1053.7171,992.2762,1004.3218,992.5137,
2005-02-24,954.1549,1008.4489,1037.4937,990.5365,1065.9422,1040.5573,1030.3633,1029.7249,982.5259,1062.2879,1004.1600,1007.0241,1074.2946,1044.0439,1048.6230,1043.3414,1023.7700,1010.4249,1052.9991,1006.3261,1074.9767,956.4964,1098.9742,1024.2562,1099.2623,1051.4481,995.9029,1020.6289,1004.1401,
2005-02-25,957.1759,1024.0119,1037.8580,992.0955,1066.8596,1039.1585,1035.2692,1034.2968,984.4251,1059.5231,1005.9912,1005.3803,1068.4964,1044.7720,1043.7613,1043.2743,1018.9255,1013.5932,1058.0649,1010.0871,1079.3317,952.0881,1099.9322,1024.4839,1095.7214,1051.1990,994.8623,1024.9904,999.9679,
2005-02-28,963.2463,1023.0616,1048.9616,983.7763,1057.2122,1036.9767,1035.2068,1026.5077,978.7805,1065.4130,999.4406,1000.6959,1059.7244,1040.2112,1046.6751,1042.2458,1019.6837,1008.8223,1056.9200,1014.8197,1049.8647,951.8645,1084.6365,1020.7868,1095.1145,1054.8513,986.7930,1021.7726,995.5180,
2005-03-01,966.6228,1011.1085,1055.7489,980.5765,1050.6817,1039.3018,1029.3030,1023.9063,973.6066,1058.8876,998.6758,997.6906,1053.1783,1040.4775,1049.3151,1043.0258,1019.1079,1008.5797,1054.8618,1026.9142,1045.8888,955.9524,1085.2647,1015.3954,1101.8302,1050.3233,989.0925,1012.9159,998.7426,
2005-03-02,955.3323,1000.0260,1026.1771,982.5391,1016.0770,1027.6321,1012.1705,1017.6769,967.2960,1037.5232,986.1725,988.1890,1035.5264,1021.6960,1034.8734,1021.7804,1003.1259,998.2300,1040.9248,1006.0299,1033.7426,948.4218,1071.2047,1005.4859,1057.1349,1040.7342,973.7598,999.6910,983.1250,
2005-03-03,960.6094,1004.6673,1037.4225,988.9940,1032.9500,1034.0693,1020.3417,1013.4537,967.6645,1047.6082,983.6132,996.7613,1037.5005,1026.9675,1043.9895,1021.1204,1005.8380,1000.3278,1045.8031,1011.8376,1045.3716,953.5023,1077.5054,1013.1300,1061.4416,1042.3337,978.8422,1019.2919,987.9453,
2005-03-04,954.5784,982.9807,1026.2547,993.6668,1026.4946,1027.1343,1014.7312,1000.6851,958.3872,1042.6947,974.8695,991.8231,1032.1615,1018.6842,1036.6237,1016.8471,998.1306,996.4548,1046.1439,1004.8063,1038.2994,944.8499,1073.8602,1011.7890,1058.1898,1036.2365,974.0858,1018.3306,977.8440,
2005-03-07,963.3352,978.0359,1030.0167,994.1569,1032.4048,1041.1470,1021.7947,1003.3258,962.7341,1052.5081,977.3311,993.2824,1034.2413,1026.8805,1036.7934,1022.4127,1001.4171,997.2325,1051.5720,1011.1782,1040.4984,945.1603,1079.3553,1019.4357,1091.7131,1041.4324,981.5853,1021.9258,980.8549,
2005-03-08,974.6067,1001.3958,1062.0209,1012.0048,1046.0635,1061.4912,1036.6517,1024.2789,979.9144,1082.1580,1004.3114,1020.9210,1054.5705,1049.4107,1057.6206,1037.0326,1022.8306,1022.3910,1070.9633,1025.9168,1053.2297,961.9173,1096.4371,1039.4420,1109.6776,1057.0098,1002.4587,1038.9579,1003.0752,
2005-03-09,976.6896,991.4112,1067.6384,1011.0139,1046.4761,1064.7317,1039.2690,1027.5028,983.8650,1088.7986,1005.6122,1042.2051,1059.9918,1049.6085,1066.6731,1032.1941,1022.9553,1025.2227,1076.2778,1022.8541,1029.3543,957.4766,1095.5704,1037.2318,1120.2707,1046.4271,1003.6029,1045.0893,1002.8338,
2005-03-10,953.3682,962.1714,1033.4256,988.4547,1017.2938,1040.0712,1009.3190,999.6713,957.1369,1061.9530,976.7908,1009.3589,1033.2963,1023.4279,1039.0203,1009.2964,995.1284,1009.7449,1059.8670,996.9073,1011.0957,914.4446,1068.1894,1018.8412,1086.3438,1018.5931,972.8848,1017.6242,973.1353,
2005-03-11,952.0064,965.5213,1053.8283,990.6166,1013.7995,1046.2106,1008.5786,1004.1282,947.4745,1079.3917,975.0279,1018.2229,1031.2541,1033.3844,1040.0086,1030.0692,1000.5982,1018.8629,1061.2367,990.5559,1006.2836,901.2148,1069.6599,1036.7653,1088.6126,1026.3150,973.4945,1007.1336,977.8076,
2005-03-14,950.3726,991.1286,1063.3191,983.7238,1021.8249,1051.6087,998.6413,999.2344,938.8231,1087.7404,963.3794,1016.1759,1021.5869,1035.9628,1042.9642,1025.2786,995.2029,1019.4562,1073.6698,990.8771,1008.9424,893.0384,1057.7301,1057.4669,1085.5583,1015.2751,964.1402,1010.4043,966.1932,
2005-03-15,928.7880,970.7657,1040.5069,962.8687,1009.8838,1038.7668,995.5138,985.2801,928.5421,1075.0275,947.9335,1007.8860,1007.2093,1023.1353,1035.6382,1000.9573,981.4334,1006.5934,1063.3230,985.3944,986.2900,888.6430,1041.5256,1039.8472,1094.8615,998.9071,954.1055,1000.7028,955.3713,
2005-03-16,922.8079,950.6262,1022.5017,949.5046,997.8045,1026.5484,984.4617,974.3024,918.4813,1069.0752,934.4257,997.0009,1005.8332,1014.3934,1020.4809,984.3281,973.1938,992.0843,1058.8261,979.8191,984.4321,883.0638,1032.7088,1028.3371,1076.6877,996.0887,952.1496,1004.4990,948.2175,
2005-03-17,919.4276,946.4009,1011.2393,941.5119,983.2444,1016.2503,971.2389,956.1360,908.2722,1052.0618,913.4251,993.1396,980.8581,1005.2879,1015.8231,974.5283,958.6706,985.8634,1055.0098,967.9715,983.5788,875.4492,1002.2674,1021.5376,1050.3372,992.1112,947.2886,1005.9434,936.4907,
2005-03-18,911.6970,907.0706,992.4730,932.1903,976.9765,995.2643,958.1357,943.2592,894.2272,1029.4796,894.5808,969.5211,967.2133,983.9217,1000.4187,951.1209,941.6883,965.5176,1041.4929,952.4509,992.2923,861.3534,990.9712,1004.0557,1017.3369,968.2000,920.5588,945.4054,914.5371,
2005-03-21,918.1743,904.2387,1000.1271,932.5116,987.8533,1004.7098,954.5570,945.5998,886.0612,1036.2427,889.4506,978.3746,968.7394,982.3094,989.8637,944.2045,947.2516,970.1916,1048.0116,954.2249,999.8314,848.6740,985.9306,1015.4608,1005.6377,962.6191,920.3849,928.0459,913.2281,
2005-03-22,906.2561,910.6127,969.0405,908.2499,966.2995,986.6206,923.0371,912.1900,854.8576,1021.3467,870.5176,955.6313,938.8374,956.4350,974.2255,912.6044,916.0073,955.0619,1041.5676,927.0745,967.2579,823.8330,960.4520,1023.2108,983.8016,923.0034,880.9206,912.6393,865.3229,
2005-03-23,898.2825,913.2793,976.4828,904.0186,951.9582,982.7251,920.4661,911.2918,864.0240,1002.2031,865.5807,959.8901,935.1956,957.5300,981.9707,906.8369,914.4067,953.8211,1044.7374,922.7298,969.4676,802.4101,963.0498,1013.7022,990.9754,913.2678,851.2559,925.2207,871.1256,
2005-03-24,900.0894,910.7441,986.1169,913.3039,968.5395,988.8210,930.7343,922.5014,876.5504,998.4124,878.8806,969.0553,948.3434,962.8005,984.1908,921.9773,917.1712,956.7927,1041.4768,936.3533,973.4344,813.1515,975.1486,1014.5958,996.7242,923.5792,860.4514,927.4253,888.8440,
2005-03-25,899.0512,912.4720,982.1691,913.7302,967.4018,988.2460,927.5634,919.3467,873.1499,993.9563,878.5593,979.0926,944.6337,958.9751,976.3045,916.6973,915.6545,955.1718,1036.8582,937.2873,970.6467,803.8447,972.1976,1015.9056,976.8817,923.5854,852.6009,922.1108,887.7380,
2005-03-28,893.0520,912.6350,974.5302,908.1032,966.8163,990.6817,912.5586,908.6879,870.7747,989.6113,873.6057,974.3608,939.5966,953.6733,970.1663,913.0254,910.6798,948.9406,1044.0191,935.0487,970.1122,784.1289,958.1415,1019.8190,963.4279,913.1171,842.6040,903.9350,872.9235,
2005-03-29,888.7749,910.5618,961.6703,903.0537,969.1879,984.6457,908.3368,905.8023,866.2848,986.2215,862.2284,960.3557,931.1890,947.9650,960.2238,912.3370,900.1666,943.1940,1037.1983,926.1135,971.4993,775.8461,951.3621,1014.5265,949.0228,903.0336,832.2748,887.3410,864.6865,
2005-03-30,872.6109,906.7069,925.3524,887.9675,959.4366,958.8084,876.9129,879.6274,854.4785,947.9884,834.9757,924.1809,900.4415,926.2089,924.7931,896.6893,870.5916,920.9573,1013.3513,897.8864,943.1747,760.6047,940.5741,989.7201,924.2944,884.2180,817.4882,867.2418,837.2800,
2005-03-31,883.7471,912.9462,931.6650,897.0350,954.4466,965.4921,883.6767,883.8879,864.0372,959.6787,845.6929,933.4222,907.7655,934.1064,940.7970,902.3195,875.1922,924.9070,1016.8403,896.9248,958.2899,772.0264,945.3577,993.2634,934.3588,885.2731,832.4236,878.8029,842.2661,
2005-04-01,918.0765,956.5229,978.3720,926.0228,993.3647,1004.4596,914.5561,909.4240,891.9233,1000.0083,879.0912,969.9200,940.4915,963.8370,972.6753,933.0250,906.6671,955.0380,1047.9382,926.4808,1000.8725,836.6112,972.4918,1024.4417,973.6323,920.3192,863.1774,909.5534,871.9714,
