,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate
2009-01-05,4.595232752541351,5.027040690737445,3.194906275296688,2.8865727039533913,3.0807851132744952,2.909488984486674,4.7170220508879,1.8568453909771772,2.8323959826722502,1.0166623184647106,
2009-04-01,5.668205556759448,4.976523212258257,3.7330816505226587,3.0379762410738524,4.029871944704107,3.8420588193095377,5.086480968353246,2.237098952638527,8.947990572249708,0.8328322446271276,
2009-07-01,0.9475245545995024,0.5218825793034446,0.6774189469411575,0.7356086614315305,1.5513794255585538,2.338794704212711,1.5092057985506167,0.3021498681359173,0.9206966610190509,0.6619026065378997,
2009-10-09,2.806488274692117,1.187865998941866,1.970968856374052,2.096916639043067,2.763220549887632,3.299269269362054,4.070685579847882,0.8426365168032749,1.6410914006005006,1.9397896275253927,
2010-01-04,4.6685864136821875,2.4387725184229785,2.6738283503221365,3.6810185386614735,4.04269317481232,4.8503883065044775,5.695690782482573,1.6915474108834176,1.9612782963665978,3.6003659562957493,
2010-04-01,4.7582042124749035,3.30171095938309,3.5527893900002723,3.598937304136483,4.660609742455256,5.10704595400311,7.534883221882069,2.281454867278167,1.7455459721049298,3.9315057772602615,
2010-07-01,1.2772816298122864,1.1618164358541319,1.0655030180869662,1.0898857798528288,1.8960726949238318,1.4152190835751577,2.535324583164348,0.6040578231690089,0.35937999911736496,0.8431760172391739,
2010-10-08,2.5326244308503165,2.0961816484429856,2.5103296372700914,2.986956866002181,3.39619082422521,2.745829910275337,4.553774246962796,1.8550391686747674,0.6411437588670478,1.9678756347644368,
2011-01-04,3.7887056936066186,3.283886697662937,4.217777667691164,4.113092161563629,4.796597033097863,4.085127659389231,5.841395859780423,2.9662526694562796,0.8928812004268647,3.027262020773682,
2011-04-01,4.547601282209042,4.417561107665824,6.205652261560556,5.7413078343573405,5.935927872593028,5.24052629024389,9.170294851289007,4.860094428502002,0.8124884713566622,4.31525839992763,
2011-07-01,1.0131307045095885,1.5119555456073162,1.838517921894701,2.088882595894868,2.263770232668249,1.6563156986148575,2.494357187862906,0.7800516558322826,0.21537997890569194,0.8191759246636843,
2011-10-10,2.6053482928855023,3.7116939113219183,4.035499589344518,4.59395463136124,4.329691187829454,3.241426810931674,5.376062701272962,2.3232295490509864,0.7889555630788795,2.3333934967468015,
2012-01-04,5.10562302385037,5.887518775520206,5.182454522735587,6.788702855983533,5.713570640559619,4.875695611380292,7.882280799023784,3.160116638879044,1.173438437558952,3.8885682574818334,
2012-04-05,5.4397048219233275,6.060115318599959,6.42883456327356,8.308849727151577,6.119076578149425,5.976959587290105,11.421653733005302,4.540213248313454,1.0312721524714141,5.931963236601712,
2012-07-02,1.4110082609651255,1.196644333311744,1.477170432797756,2.3256867788776763,2.8498677627758835,1.6710940246679726,2.670742981199774,0.7352178173663017,0.29256840552943425,0.608116467537183,
2012-10-08,3.011694737919314,2.353787584991488,3.2080923887840074,4.115115157310581,5.317742736255866,3.271680920067099,5.986875066244003,1.712231384960013,1.0188789565464893,2.367989255943438,
2013-01-04,3.919257615844565,3.060250389353206,4.469776540434872,5.580629179393039,8.395271994156708,4.661877607949315,8.794216469890756,2.2497405041596457,1.4044713439991956,4.335135332911838,
2013-04-01,4.288180388049824,3.9229057377221697,4.7759802220228655,8.136666498336789,10.026578744768505,5.648868333519608,12.874511023416856,2.9995269853958115,1.3954591208353737,7.21646173756671,
2013-07-01,1.0659882279764266,0.8736479275608091,0.8436449713444591,1.9453555267163916,2.88919242548364,1.6415436498067053,3.073389869622017,0.7372826703506411,0.5863288324377781,2.2576612206890094,
2013-10-08,1.5040049447927033,1.998360993203871,1.9256787571391067,3.7853170675971657,5.977019527694806,3.4056865858313126,6.90837192237601,1.7661154519132136,0.8573621273150064,4.948732101689292,
2014-01-02,2.393207547229767,3.1544094676161247,2.9876496698382606,6.900824943631486,8.88689676422101,5.41101257918684,10.328217461392441,2.9723695190303863,1.503545631305451,7.365374315568415,
2014-04-01,3.1330675616419232,3.949750839560082,3.509747030994992,7.258336495025833,10.358341258854637,7.170020190588736,15.003255999447342,4.322351643344178,1.4532894946427652,8.92026080506284,
2014-07-01,0.14623796368090813,0.9097920338515053,0.6754702243953322,1.7491364639797011,3.111760867355776,1.984132754054622,3.6488606328374864,0.9227028555363256,0.678622402625709,2.463094825868809,
2014-10-08,0.06297894934746522,2.054368260400628,1.8085552865301018,3.8594057778276745,6.203988791672517,4.310005075947888,7.989378904233131,2.052452109076329,1.1777339793206263,5.46926848955186,
2015-01-05,0.47088251335346903,3.2253206893267397,3.4702284494035167,7.41655580970508,8.368760064595728,6.40312500007484,11.725586634991737,2.6823811085338725,2.1384429343269247,8.62462392964497,
2015-04-01,5.605367638303595,3.700457925666222,3.265670270037324,7.759022046726263,9.406908037211315,7.44546264742023,16.389275542701878,0.9030247779759432,1.9561103995534328,9.887955387374879,
2015-07-01,0.37054857681036846,0.6320479119617691,0.7623469051511333,2.378188940207761,3.717347703751411,2.576634284739613,3.8816400280113976,0.7135007293518227,0.8673733401703497,2.884218150106455,
2015-10-08,1.4876064069887371,1.644581006159531,1.3925410704303596,5.458535094272986,6.324379813383362,5.106116771840853,8.614643145020226,0.7677875118384211,1.9895849508184864,6.090464570639641,
2016-01-04,1.7164254387301103,1.940607407512893,2.5128333269366174,9.094401074938279,9.299146821874395,8.044436872410154,9.803422452605353,2.1139231625580055,2.5282088622907533,9.403781799109618,
