ticker,industry,included,excluded
000415.SZ,6220,19960716,20020420
000415.SZ,6230,20020421,20050426
000415.SZ,6220,20050427,20080825
000415.SZ,6220,20080826,20110829
000415.SZ,6240,20110830,null
000416.SZ,6235,19960719,20080409
000416.SZ,6225,20080410,20150104
000416.SZ,6240,20150105,null
000417.SZ,6225,19960812,null
000418.SZ,6225,19970328,20190621
000419.SZ,6225,19960816,19990806
000419.SZ,6225,19990807,20121126
000419.SZ,6225,20121127,null
000420.SZ,6215,19960802,null
000421.SZ,6220,19960806,20140831
000421.SZ,6220,20140901,20150302
000421.SZ,6255,20150303,null
000422.SZ,6215,19960815,null
000423.SZ,6235,19960729,null
000425.SZ,6220,19960828,null
000426.SZ,6255,19960828,20040429
000426.SZ,6240,20040430,20050823
000426.SZ,6255,20050824,20111221
000426.SZ,6215,20111222,null
000428.SZ,6225,19960808,null
000429.SZ,6220,19960815,null
000430.SZ,6225,19960829,null
000488.SZ,6215,19970526,null
000498.SZ,6215,19970609,20121219
000498.SZ,6220,20121220,null
000501.SZ,6225,19921120,null
000502.SZ,6240,19921123,20170301
000502.SZ,6260,20170302,null
000503.SZ,6215,19921130,20030826
000503.SZ,6220,20030827,20070418
000503.SZ,6245,20070419,null
000504.SZ,6240,19921208,20030222
000504.SZ,6225,20030223,20150329
000504.SZ,6235,20150330,null
000505.SZ,6240,19921221,20170301
000505.SZ,6260,20170302,20170928
000505.SZ,6230,20170929,null
000506.SZ,6215,19930312,20000725
000506.SZ,6215,20000726,20080829
000506.SZ,6240,20080830,20170301
000506.SZ,6260,20170302,null
000507.SZ,6220,19930326,20140831
000507.SZ,6220,20140901,null
000508.SZ,6230,19930430,19990712
000509.SZ,6230,19930507,20020826
000509.SZ,6220,20020827,20180416
000509.SZ,6220,20180417,20190816
000509.SZ,6235,20190817,null
000510.SZ,6215,19930507,null
000511.SZ,6220,19930518,19990210
000511.SZ,6240,19990211,20140101
000511.SZ,6215,20140102,20180718
000511.SZ,6215,20180719,null
000513.SZ,6235,19930720,null
000514.SZ,6240,19930712,20170301
000514.SZ,6260,20170302,null
000515.SZ,6215,19930712,null
000516.SZ,6225,19930809,20190424
000516.SZ,6235,20190425,null
000517.SZ,6215,19930806,20000309
000517.SZ,6245,20000310,20050831
000517.SZ,6225,20050901,20090624
000517.SZ,6240,20090625,20170301
000517.SZ,6260,20170302,null
000518.SZ,6225,19930908,20080422
000518.SZ,6235,20080423,null
000519.SZ,6225,19931008,20140504
000519.SZ,6215,20140505,20161220
000519.SZ,6220,20161221,null
000520.SZ,6215,19931025,20070412
000520.SZ,6220,20070413,null
000521.SZ,6225,19931018,null
000522.SZ,6235,19931108,20130426
000523.SZ,6230,19931108,null
000524.SZ,6225,19931118,null
000525.SZ,6215,19931028,null
000526.SZ,6230,19931101,19950828
000526.SZ,6240,19950829,20160712
000526.SZ,6225,20160713,null
000527.SZ,6225,19931112,20130918
000528.SZ,6220,19931118,null
000529.SZ,6225,19931118,20090724
000529.SZ,6220,20090725,20130328
000529.SZ,6225,20130329,20200821
000529.SZ,6230,20200822,null
000530.SZ,6220,19931208,null
000531.SZ,6255,19940106,null
000532.SZ,6255,19940103,20010814
000532.SZ,6245,20010815,20070420
000532.SZ,6245,20070421,20150329
000532.SZ,6245,20150330,null
000533.SZ,6220,19940103,20121128
000533.SZ,6225,20121129,null
000534.SZ,6255,19940110,20090827
000534.SZ,6240,20090828,20170301
000534.SZ,6260,20170302,20190319
000534.SZ,6235,20190320,null
000535.SZ,6220,19931130,null
000536.SZ,6220,19931126,20090407
000536.SZ,6245,20090408,20110131
000536.SZ,6245,20110201,null
000537.SZ,6225,19931210,20010306
000537.SZ,6245,20010307,20040430
000537.SZ,6255,20040501,20050422
000537.SZ,6240,20050423,20170301
000537.SZ,6260,20170302,null
000538.SZ,6235,19931215,null
000539.SZ,6255,19931126,null
000540.SZ,6240,19940202,20170301
000540.SZ,6260,20170302,null
000541.SZ,6225,19931123,null
000542.SZ,6245,19931201,20040113
000543.SZ,6255,19931220,null
000544.SZ,6220,19931208,20070731
000544.SZ,6255,20070801,20160426
000544.SZ,6255,20160427,null
000545.SZ,6235,19931215,20130501
000545.SZ,6215,20130502,null
000546.SZ,6240,19931215,20140504
000546.SZ,6215,20140505,null
000547.SZ,6245,19931130,20160414
000547.SZ,6220,20160415,null
