,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate
2010-01-04,0.0,0.0,0.021826162288962732,0.0,0.0,0.0,0.22211286118236243,0.0016772576181356752,0.0,0.0,
2010-04-01,7.895909124328791,0.3571539539655729,0.6397954540608548,0.19992570849577238,0.8714224179836169,0.8138874956022343,2.6753879121766637,0.08197524587806257,0.0,1.918340380908348,
2010-07-01,8.667807758763846,0.4522667714018594,0.6981947264025731,0.1956550160032376,0.9632892977407832,0.7119924318894865,3.3357527623860355,0.13142358367689408,0.0,2.2834247834305157,
2010-10-08,7.019052342744994,0.34682224255835603,0.686881074241617,0.2238244562519932,0.8140551522929063,0.7581630185739805,2.912794436956337,0.12611689878579055,0.0,2.0614473348418056,
2011-01-04,0.0,0.03493910622107462,0.07608336778032847,0.005201373299782256,0.0024266798360873974,0.16803640865055422,0.0,0.0,0.0,0.0,
2011-04-01,5.85268767666908,0.6490450584443407,0.7537253783450448,0.22203772890596352,0.9479135752378759,1.0579005345857089,1.250775328903647,0.2599532234762221,0.0,0.3908245835347332,
2011-07-01,4.156212459497851,0.7454794060170035,0.7646853685929235,0.21915351004447134,0.7976470779595657,1.0493664148185378,1.2517938122597232,0.26686136562339074,0.0,0.39396179992424774,
2011-10-10,5.046823184431787,0.7606697343870658,0.7206409354613859,0.19350001704463668,0.6985011510233032,0.9651050053867046,1.0523073481397833,0.27249958617072395,0.0,0.4025115686390613,
2012-01-04,0.0,0.23061599638465607,0.042171071153730165,0.011078563829660394,0.0,0.0,0.13336851595181975,0.0,0.0,0.1928339682695979,
2012-04-05,8.311205809143457,0.9553987404476723,1.2478286280649302,0.24385465960151997,0.7991486677975043,0.7435901500559948,1.6818891339528934,0.25666201360084456,3.3775113434412987,0.5745488851134968,
2012-07-02,7.7410879411923075,0.8618928019354595,1.2107038007828377,0.25463641191769343,0.7434664273675479,0.7625332993881002,1.7134204025268,0.3287555328730092,3.015247421998662,0.5832002136230694,
2012-10-08,7.924438389654897,0.7221438452792266,1.2164266276529934,0.2360674387274443,0.6837258084640185,0.7538243016151966,1.6565695813175585,0.28539596163891584,3.020272979314464,0.9444583759173646,
2013-01-04,0.0543742253874539,0.09924626156079518,0.05521014198779241,0.021939946433492934,0.014354377395320934,0.04275393708548568,0.10091117617964393,0.055974759566643335,0.0,0.004596990495435618,
2013-04-01,5.694409857260587,0.9146536985262322,1.170249211829366,0.9341816346644701,1.2544172546202144,1.4376183469875783,1.9840133900435926,0.3581374208151293,0.0,0.6241274568860428,
2013-07-01,5.365211548115998,0.8126783477452939,1.0122338265529902,0.9352046602257105,0.9697524302591887,1.2039579547342572,1.9265975933547665,0.3283256425829039,0.0,0.717778153612127,
2013-10-08,4.551475344603518,0.8283399285395411,0.9845042987334791,0.7906924912864892,1.1973926965820842,1.0910343036097647,1.9444876458155866,0.34186218997941886,0.0,0.6754758952958326,
2014-01-02,0.0012308767898572145,0.057183829429541935,0.021278190685887273,0.016681028477462504,0.0,0.023079111339199872,0.004796517016055765,0.0011182215843115507,0.0,0.10431549022116685,
2014-04-01,10.091053981982142,0.7836033534918431,0.9768036940367523,1.0508263697660403,1.255064912085773,1.4539361485379105,4.746399949037931,0.21487674361592476,0.0,2.510248212993787,
