date,CSI 300,Small Cap,CSI 300 Chg,Small Cap Chg,AR
2012-10-18,66.08000045258724,84.89837239999997,1.5334,1.4298,126.47289999999995
2012-10-19,65.97788545582607,84.69379409999995,-0.1545,-0.241,126.38639999999995
2012-10-22,66.23586018448589,85.0726785,0.391,0.4474,126.44279999999995
2012-10-23,65.40111958769302,84.26786820000001,-1.2603,-0.946,126.75709999999995
2012-10-24,65.27948676606614,84.08211829999996,-0.186,-0.2204,126.72269999999995
2012-10-25,64.8116247033432,83.33425570000011,-0.7167,-0.8894,126.54999999999995
2012-10-26,63.58596187518209,81.63320380000005,-1.8911,-2.0412,126.39989999999995
2012-10-29,63.24482424057275,81.4709466999999,-0.5365,-0.1988,126.73759999999996
2012-10-30,63.35881965246958,81.55862920000003,0.1802,0.1076,126.66499999999995
2012-10-31,63.78142299086623,81.8664542,0.667,0.3774,126.37539999999996
2012-11-01,64.99944840929727,83.15202459999998,1.9097,1.5703,126.03599999999994
2012-11-02,65.25091719633518,83.50864799999992,0.3869,0.4289,126.07799999999995
2012-11-05,65.11259522011298,83.25939729999993,-0.212,-0.2985,125.99149999999995
2012-11-06,64.83906280496602,82.63527439999999,-0.4201,-0.7496,125.66199999999995
2012-11-07,64.70611530225757,82.6230113,-0.205,-0.0148,125.85219999999995
2012-11-08,63.51524511842228,80.6209691,-1.8404,-2.4231,125.26949999999995
2012-11-09,63.388237823281656,80.43571330000007,-0.2,-0.2298,125.23969999999994
2012-11-12,63.697411483835566,81.10456499999998,0.4877,0.8315,125.58349999999996
2012-11-13,62.58263253027384,79.57089869999992,-1.7501,-1.891,125.44259999999996
2012-11-14,62.88445164812474,79.6758769,0.4823,0.1319,125.09219999999995
2012-11-15,62.05027678538595,78.29733789999996,-1.3265,-1.7302,124.68849999999995
2012-11-16,61.58694059509564,77.8825364,-0.7467,-0.5298,124.90539999999996
2012-11-19,61.523295514011814,78.2877321000001,-0.1033,0.5203,125.52899999999995
2012-11-20,61.237316949675126,78.04693050000006,-0.4648,-0.3076,125.68619999999996
2012-11-21,62.08648376484699,78.80539210000002,1.3867,0.9718,125.27129999999995
2012-11-22,61.59570947293387,78.02942969999998,-0.7905,-0.9847,125.07709999999994
2012-11-23,62.023687284844264,78.17270490000003,0.6948,0.1836,124.56589999999996
2012-11-26,61.54055040266121,77.31916259999994,-0.779,-1.0919,124.25299999999996
2012-11-27,60.83451430317122,74.35341369999998,-1.1473,-3.8357,121.56459999999996
2012-11-28,60.226915929090886,72.6888289,-0.9988,-2.2387,120.32469999999995
2012-11-29,59.84561117664197,71.88571440000004,-0.6331,-1.1049,119.85289999999995
2012-11-30,60.523926307482114,72.77135410000004,1.1334,1.232,119.95149999999995
2012-12-03,59.65241299717415,71.04318559999997,-1.4399,-2.3748,119.01659999999995
2012-12-04,60.29225821233696,71.84395159999998,1.0726,1.1272,119.07119999999996
2012-12-05,62.453645165943946,74.26562410000005,3.5848,3.3707,118.85709999999996
2012-12-06,62.332578078371135,74.2593121,-0.1939,-0.0085,119.04249999999996
